k,n,m,alpha,sift_up,sift_down,r_up,r_down,insert,deletemin,update,i,d,u,noshita_expected,Algo_Time_ms
4,250000,500000,1.056,42788,1918935,0.018,0.800,250000,250000,17413,1.000,1.000,0.035,173286.795,111.921
5,250000,500000,1.056,32941,1677000,0.016,0.812,250000,250000,17433,1.000,1.000,0.035,173286.795,109.278
8,250000,500000,1.056,20226,1316016,0.013,0.823,250000,250000,17420,1.000,1.000,0.035,173286.795,108.603
16,250000,500000,1.056,10736,1015595,0.009,0.847,250000,250000,17472,1.000,1.000,0.035,173286.795,109.612
2,250000,500000,1.056,121764,3620264,0.025,0.754,249997,249997,17622,1.000,1.000,0.035,173286.795,127.153
3,250000,500000,1.056,60271,2374168,0.020,0.784,249997,249997,17519,1.000,1.000,0.035,173286.795,112.059
4,250000,500000,1.056,42188,1917190,0.018,0.800,249997,249997,17261,1.000,1.000,0.035,173286.795,110.909
5,250000,500000,1.056,33406,1677011,0.016,0.812,249997,249997,17412,1.000,1.000,0.035,173286.795,111.18
8,250000,500000,1.056,20523,1316225,0.013,0.824,249997,249997,17378,1.000,1.000,0.035,173286.795,109.34
16,250000,500000,1.056,10857,1015001,0.009,0.847,249997,249997,17383,1.000,1.000,0.035,173286.795,110.399
2,250000,500000,1.056,120503,3615411,0.025,0.754,250000,250000,17350,1.000,1.000,0.035,173286.795,116.893
3,250000,500000,1.056,59476,2370021,0.020,0.784,250000,250000,17321,1.000,1.000,0.035,173286.795,113.11
4,250000,500000,1.056,42306,1918046,0.018,0.800,250000,250000,17425,1.000,1.000,0.035,173286.795,111.167
5,250000,500000,1.056,33146,1677138,0.016,0.812,250000,250000,17530,1.000,1.000,0.035,173286.795,125.252
8,250000,500000,1.056,20474,1316545,0.013,0.823,250000,250000,17565,1.000,1.000,0.035,173286.795,107.825
16,250000,500000,1.056,10340,1014212,0.009,0.847,250000,250000,17192,1.000,1.000,0.034,173286.795,110.601
2,250000,500000,1.056,120305,3616447,0.025,0.754,250000,250000,17379,1.000,1.000,0.035,173286.795,119.843
3,250000,500000,1.056,59804,2375179,0.020,0.784,250000,250000,17733,1.000,1.000,0.035,173286.795,112.015
4,250000,500000,1.056,42731,1918847,0.018,0.800,250000,250000,17434,1.000,1.000,0.035,173286.795,110.805
5,250000,500000,1.056,33380,1678816,0.016,0.812,250000,250000,17710,1.000,1.000,0.035,173286.795,110.077
8,250000,500000,1.056,20231,1316149,0.013,0.823,250000,250000,17534,1.000,1.000,0.035,173286.795,109.333
16,250000,500000,1.056,10785,1015233,0.009,0.847,250000,250000,17465,1.000,1.000,0.035,173286.795,115.249
2,250000,500000,1.056,121111,3616894,0.025,0.755,250000,250000,17272,1.000,1.000,0.035,173286.795,119.335
3,250000,500000,1.056,59689,2372724,0.020,0.784,250000,250000,17367,1.000,1.000,0.035,173286.795,113.098
4,250000,500000,1.056,42420,1918891,0.018,0.800,250000,250000,17461,1.000,1.000,0.035,173286.795,111.873
5,250000,500000,1.056,33498,1677816,0.016,0.812,250000,250000,17489,1.000,1.000,0.035,173286.795,108.953
8,250000,500000,1.056,20434,1316332,0.013,0.823,250000,250000,17495,1.000,1.000,0.035,173286.795,109.496
